index	name	xprs_tpm_kallisto	xprs_count_kallisto	xprs_tpm_rsem_x	xprs_count_rsem_x	xprs_tpm_rsem_y	xprs_count_rsem_y	length	tr_good	tr_bases_covered	tr_seq_true	tr_score	tr_not_segmented	component_contribute_xprs_tpm_kallisto	component_contribute_xprs_count_kallisto	component_contribute_xprs_tpm_rsem_x	component_contribute_xprs_count_rsem_x	component_contribute_xprs_tpm_rsem_y	component_contribute_xprs_count_rsem_y	component_relative_xprs_tpm_kallisto	component_relative_xprs_count_kallisto	component_relative_xprs_tpm_rsem_x	component_relative_xprs_count_rsem_x	component_relative_xprs_tpm_rsem_y	component_relative_xprs_count_rsem_y	component	index_component	component_tot_xprs_tpm_kallisto	component_tot_xprs_count_kallisto	component_tot_xprs_tpm_rsem_x	component_tot_xprs_count_rsem_x	component_tot_xprs_tpm_rsem_y	component_tot_xprs_count_rsem_y	component_avg_xprs_tpm_kallisto	component_avg_xprs_count_kallisto	component_avg_xprs_tpm_rsem_x	component_avg_xprs_count_rsem_x	component_avg_xprs_tpm_rsem_y	component_avg_xprs_count_rsem_y	component_max_xprs_tpm_kallisto	component_max_xprs_count_kallisto	component_max_xprs_tpm_rsem_x	component_max_xprs_count_rsem_x	component_max_xprs_tpm_rsem_y	component_max_xprs_count_rsem_y	component_size	component_component
379	TRINITY_DN117_c0_g1_i2	240.159	1258.09	246.24	1012.68	246.24	1012.68	5464	0.683	1.0	0.964	0.653	0.992	0.672	0.672	0.687	0.687	0.687	0.687	1.0	1.0	1.0	1.0	1.0	1.0	307	307	357.159	1871.004	358.17	1473.0	358.17	1473.0	178.58	935.502	179.085	736.5	179.085	736.5	240.159	1258.09	246.24	1012.68	246.24	1012.68	2	307
380	TRINITY_DN131_c0_g1_i1	65.4	36.0	62.15	27.0	62.15	27.0	736	0.771	1.0	0.961	0.558	0.752	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	308	308	65.4	36.0	62.15	27.0	62.15	27.0	65.4	36.0	62.15	27.0	62.15	27.0	65.4	36.0	62.15	27.0	62.15	27.0	1	308
381	TRINITY_DN131_c0_g2_i4	97.487	95.808	112.4	86.95	112.4	86.95	1172	0.939	0.999	0.981	0.827	0.898	0.773	0.393	0.853	0.525	0.853	0.525	1.0	0.646	1.0	1.0	1.0	1.0	309	309	126.173	244.005	131.78	165.53	131.78	165.53	63.086	122.002	65.89	82.765	65.89	82.765	97.487	148.197	112.4	86.95	112.4	86.95	2	309
382	TRINITY_DN131_c0_g2_i3	150.102	156.0	154.05	126.0	154.05	126.0	1229	0.8	0.999	0.977	0.713	0.913	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	310	310	150.102	156.0	154.05	126.0	154.05	126.0	150.102	156.0	154.05	126.0	154.05	126.0	150.102	156.0	154.05	126.0	154.05	126.0	1	310
383	TRINITY_DN131_c0_g2_i2	0.0	0.0	0.0	0.0	0.0	0.0	572	0.8	0.934	0.845	0.611	0.968													311	311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	311
384	TRINITY_DN131_c0_g2_i1	186.211	965.692	188.31	766.69	188.31	766.69	5411	0.985	1.0	0.965	0.939	0.987	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	312	312	186.211	965.692	188.31	766.69	188.31	766.69	186.211	965.692	188.31	766.69	188.31	766.69	186.211	965.692	188.31	766.69	188.31	766.69	1	312
385	TRINITY_DN131_c0_g2_i5	28.686	148.197	19.38	78.58	19.38	78.58	5391	0.649	1.0	0.966	0.62	0.989	0.227	0.607	0.147	0.475	0.147	0.475	0.294	1.0	0.172	0.904	0.172	0.904	309	309	126.173	244.005	131.78	165.53	131.78	165.53	63.086	122.002	65.89	82.765	65.89	82.765	97.487	148.197	112.4	86.95	112.4	86.95	2	309
386	TRINITY_DN131_c0_g2_i7	39.312	51.303	42.65	43.78	42.65	43.78	1497	0.515	0.993	0.966	0.461	0.934	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	313	313	39.312	51.303	42.65	43.78	42.65	43.78	39.312	51.303	42.65	43.78	42.65	43.78	39.312	51.303	42.65	43.78	42.65	43.78	1	313
387	TRINITY_DN131_c0_g2_i6	109.546	54.0	102.75	40.0	102.75	40.0	678	0.587	1.0	0.964	0.363	0.641	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	314	314	109.546	54.0	102.75	40.0	102.75	40.0	109.546	54.0	102.75	40.0	102.75	40.0	109.546	54.0	102.75	40.0	102.75	40.0	1	314
388	TRINITY_DN131_c0_g3_i1	197.863	187.0	198.92	148.0	198.92	148.0	1134	0.743	1.0	0.977	0.613	0.844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	315	315	197.863	187.0	198.92	148.0	198.92	148.0	197.863	187.0	198.92	148.0	198.92	148.0	197.863	187.0	198.92	148.0	198.92	148.0	1	315
389	TRINITY_DN131_c0_g4_i1	141.942	106.0	144.45	85.0	144.45	85.0	934	0.873	0.996	0.968	0.668	0.794	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	316	316	141.942	106.0	144.45	85.0	144.45	85.0	141.942	106.0	144.45	85.0	144.45	85.0	141.942	106.0	144.45	85.0	144.45	85.0	1	316
390	TRINITY_DN131_c0_g5_i1	96.398	154.0	95.55	120.0	95.55	120.0	1792	0.813	1.0	0.952	0.716	0.925	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	317	317	96.398	154.0	95.55	120.0	95.55	120.0	96.398	154.0	95.55	120.0	95.55	120.0	96.398	154.0	95.55	120.0	95.55	120.0	1	317
391	TRINITY_DN131_c0_g6_i1	66.384	84.0	67.32	67.0	67.32	67.0	1457	0.831	1.0	0.959	0.781	0.979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	318	318	66.384	84.0	67.32	67.0	67.32	67.0	66.384	84.0	67.32	67.0	67.32	67.0	66.384	84.0	67.32	67.0	67.32	67.0	1	318
392	TRINITY_DN131_c1_g1_i3	183.783	269.0	193.76	223.0	193.76	223.0	1657	0.852	1.0	0.968	0.782	0.948	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	319	319	183.783	269.0	193.76	223.0	193.76	223.0	183.783	269.0	193.76	223.0	193.76	223.0	183.783	269.0	193.76	223.0	193.76	223.0	1	319
393	TRINITY_DN131_c2_g1_i1	93.049	92.0	82.24	64.0	82.24	64.0	1178	0.771	0.988	0.978	0.594	0.797	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	320	320	93.049	92.0	82.24	64.0	82.24	64.0	93.049	92.0	82.24	64.0	82.24	64.0	93.049	92.0	82.24	64.0	82.24	64.0	1	320
394	TRINITY_DN131_c3_g1_i1	47.794	31.0	52.79	27.0	52.79	27.0	835	0.787	1.0	0.867	0.481	0.705	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	321	321	47.794	31.0	52.79	27.0	52.79	27.0	47.794	31.0	52.79	27.0	52.79	27.0	47.794	31.0	52.79	27.0	52.79	27.0	1	321
395	TRINITY_DN131_c3_g2_i1	66.028	110.0	69.49	91.0	69.49	91.0	1861	0.802	1.0	0.973	0.749	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	322	322	66.028	110.0	69.49	91.0	69.49	91.0	66.028	110.0	69.49	91.0	69.49	91.0	66.028	110.0	69.49	91.0	69.49	91.0	1	322
396	TRINITY_DN131_c3_g3_i1	98.152	146.0	94.05	110.0	94.05	110.0	1681	0.779	0.999	0.965	0.72	0.959	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	323	323	98.152	146.0	94.05	110.0	94.05	110.0	98.152	146.0	94.05	110.0	94.05	110.0	98.152	146.0	94.05	110.0	94.05	110.0	1	323
397	TRINITY_DN152_c0_g1_i1	156.849	226.0	157.11	178.0	157.11	178.0	1634	0.79	1.0	0.964	0.694	0.911	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	324	324	156.849	226.0	157.11	178.0	157.11	178.0	156.849	226.0	157.11	178.0	157.11	178.0	156.849	226.0	157.11	178.0	157.11	178.0	1	324
398	TRINITY_DN165_c0_g1_i1	84.162	142.298	101.0	134.23	101.0	134.23	1886	0.767	1.0	0.953	0.696	0.951	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	325	325	84.162	142.298	101.0	134.23	101.0	134.23	84.162	142.298	101.0	134.23	101.0	134.23	84.162	142.298	101.0	134.23	101.0	134.23	1	325
399	TRINITY_DN165_c0_g1_i2	152.618	236.702	149.89	182.77	149.89	182.77	1745	0.83	1.0	0.963	0.712	0.89	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	326	326	152.618	236.702	149.89	182.77	149.89	182.77	152.618	236.702	149.89	182.77	149.89	182.77	152.618	236.702	149.89	182.77	149.89	182.77	1	326
400	TRINITY_DN154_c0_g1_i1	48.392	68.0	43.44	48.0	43.44	48.0	1598	0.848	1.0	0.978	0.806	0.972	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	327	327	48.392	68.0	43.44	48.0	43.44	48.0	48.392	68.0	43.44	48.0	43.44	48.0	48.392	68.0	43.44	48.0	43.44	48.0	1	327
401	TRINITY_DN189_c0_g1_i1	132.29	151.0	136.96	123.0	136.96	123.0	1332	0.702	1.0	0.97	0.594	0.872	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	328	328	132.29	151.0	136.96	123.0	136.96	123.0	132.29	151.0	136.96	123.0	136.96	123.0	132.29	151.0	136.96	123.0	136.96	123.0	1	328
402	TRINITY_DN138_c0_g1_i1	248.118	389.0	246.64	304.0	246.64	304.0	1762	0.84	1.0	0.967	0.73	0.899	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	329	329	248.118	389.0	246.64	304.0	246.64	304.0	248.118	389.0	246.64	304.0	246.64	304.0	248.118	389.0	246.64	304.0	246.64	304.0	1	329
403	TRINITY_DN177_c0_g1_i2	537.65	509.731	550.2	410.64	550.2	410.64	1137	0.951	1.0	0.977	0.837	0.901	0.916	0.893	0.913	0.889	0.913	0.889	1.0	1.0	1.0	1.0	1.0	1.0	330	330	586.762	571.0	602.54	462.0	602.54	462.0	293.381	285.5	301.27	231.0	301.27	231.0	537.65	509.731	550.2	410.64	550.2	410.64	2	330
404	TRINITY_DN177_c0_g1_i1	49.112	61.269	52.34	51.36	52.34	51.36	1439	0.537	1.0	0.966	0.084	0.162	0.084	0.107	0.087	0.111	0.087	0.111	0.091	0.12	0.095	0.125	0.095	0.125	330	330	586.762	571.0	602.54	462.0	602.54	462.0	293.381	285.5	301.27	231.0	301.27	231.0	537.65	509.731	550.2	410.64	550.2	410.64	2	330
405	TRINITY_DN176_c0_g1_i1	226.098	161.0	129.24	72.53	129.24	72.53	899	0.494	0.978	0.919	0.41	0.924	1.0	1.0	0.509	0.594	0.509	0.594	1.0	1.0	1.0	1.0	1.0	1.0	331	331	226.098	161.0	253.78	122.06	253.78	122.06	75.366	53.667	84.593	40.687	84.593	40.687	226.098	161.0	129.24	72.53	129.24	72.53	3	331
406	TRINITY_DN176_c0_g1_i2	0.0	0.0	46.34	13.86	46.34	13.86	562	0.083	0.936	0.805	0.058	0.927	0.0	0.0	0.183	0.114	0.183	0.114	0.0	0.0	0.359	0.191	0.359	0.191	331	331	226.098	161.0	253.78	122.06	253.78	122.06	75.366	53.667	84.593	40.687	84.593	40.687	226.098	161.0	129.24	72.53	129.24	72.53	3	331
407	TRINITY_DN176_c0_g1_i3	0.0	0.0	78.2	35.67	78.2	35.67	764	0.333	0.886	0.811	0.227	0.948	0.0	0.0	0.308	0.292	0.308	0.292	0.0	0.0	0.605	0.492	0.605	0.492	331	331	226.098	161.0	253.78	122.06	253.78	122.06	75.366	53.667	84.593	40.687	84.593	40.687	226.098	161.0	129.24	72.53	129.24	72.53	3	331
408	TRINITY_DN176_c1_g1_i9	11.315	10.996	100.09	76.57	100.09	76.57	1161	0.907	0.971	0.881	0.69	0.89	0.024	0.016	0.185	0.128	0.185	0.128	0.07	0.049	0.766	0.499	0.766	0.499	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
409	TRINITY_DN176_c1_g1_i18	0.0	0.0	0.0	0.0	0.0	0.0	708	0.0	0.212	0.943	0.01	0.997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333	333	247.799	94.141	311.51	93.64	311.51	93.64	123.9	47.07	155.755	46.82	155.755	46.82	247.799	94.141	311.51	93.64	311.51	93.64	2	333
410	TRINITY_DN176_c1_g1_i20	247.799	94.141	311.51	93.64	311.51	93.64	564	0.415	0.986	0.871	0.128	0.358	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	333	333	247.799	94.141	311.51	93.64	311.51	93.64	123.9	47.07	155.755	46.82	155.755	46.82	247.799	94.141	311.51	93.64	311.51	93.64	2	333
411	TRINITY_DN176_c1_g1_i16	162.636	226.437	24.82	27.17	24.82	27.17	1585	0.96	0.989	0.946	0.126	0.14	0.339	0.323	0.046	0.045	0.046	0.045	1.0	1.0	0.19	0.177	0.19	0.177	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
412	TRINITY_DN176_c1_g1_i15	29.336	22.548	29.36	17.78	29.36	17.78	956	0.714	0.853	0.832	0.489	0.966	0.061	0.032	0.054	0.03	0.054	0.03	0.18	0.1	0.225	0.116	0.225	0.116	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
413	TRINITY_DN176_c1_g1_i7	34.913	49.544	14.01	15.63	14.01	15.63	1612	0.933	0.79	0.94	0.641	0.926	0.073	0.071	0.026	0.026	0.026	0.026	0.215	0.219	0.107	0.102	0.107	0.102	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
414	TRINITY_DN176_c1_g1_i8	124.41	221.695	109.54	153.42	109.54	153.42	1978	0.9	0.95	0.944	0.314	0.39	0.259	0.316	0.203	0.256	0.203	0.256	0.765	0.979	0.839	1.0	0.839	1.0	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
415	TRINITY_DN176_c1_g1_i12	37.542	67.905	51.91	73.8	51.91	73.8	2005	0.848	0.925	0.932	0.663	0.907	0.078	0.097	0.096	0.123	0.096	0.123	0.231	0.3	0.397	0.481	0.397	0.481	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
416	TRINITY_DN176_c1_g1_i23	25.95	47.632	31.64	45.64	31.64	45.64	2032	0.845	0.958	0.934	0.675	0.892	0.054	0.068	0.059	0.076	0.059	0.076	0.16	0.21	0.242	0.297	0.242	0.297	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
417	TRINITY_DN176_c1_g1_i19	53.324	55.102	47.84	38.9	47.84	38.9	1223	0.767	0.904	0.968	0.499	0.743	0.111	0.079	0.089	0.065	0.089	0.065	0.328	0.243	0.366	0.254	0.366	0.254	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
418	TRINITY_DN176_c1_g1_i10	0.0	0.0	130.61	151.44	130.61	151.44	1668	0.678	0.916	0.959	0.163	0.273	0.0	0.0	0.242	0.252	0.242	0.252	0.0	0.0	1.0	0.987	1.0	0.987	332	332	479.426	701.859	539.82	600.35	539.82	600.35	53.27	77.984	59.98	66.706	59.98	66.706	162.636	226.437	130.61	153.42	130.61	153.42	9	332
419	TRINITY_DN170_c0_g1_i1	180.289	172.0	173.1	130.0	173.1	130.0	1143	0.678	1.0	0.947	0.572	0.891	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	334	334	180.289	172.0	173.1	130.0	173.1	130.0	180.289	172.0	173.1	130.0	173.1	130.0	180.289	172.0	173.1	130.0	173.1	130.0	1	334
420	TRINITY_DN156_c0_g1_i1	97.75	240.0	95.91	185.0	95.91	185.0	2657	0.745	1.0	0.969	0.707	0.98	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	335	335	97.75	240.0	95.91	185.0	95.91	185.0	97.75	240.0	95.91	185.0	95.91	185.0	97.75	240.0	95.91	185.0	95.91	185.0	1	335
421	TRINITY_DN118_c0_g1_i4	53.005	118.0	53.74	94.0	53.74	94.0	2426	0.93	0.995	0.966	0.853	0.955	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	336	336	53.005	118.0	53.74	94.0	53.74	94.0	26.502	59.0	26.87	47.0	26.87	47.0	53.005	118.0	53.74	94.0	53.74	94.0	2	336
422	TRINITY_DN118_c0_g1_i1	0.0	0.0	0.0	0.0	0.0	0.0	2534	0.655	0.993	0.977	0.623	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336	336	53.005	118.0	53.74	94.0	53.74	94.0	26.502	59.0	26.87	47.0	26.87	47.0	53.005	118.0	53.74	94.0	53.74	94.0	2	336
423	TRINITY_DN167_c0_g1_i3	122.534	261.0	121.29	203.0	121.29	203.0	2329	0.823	1.0	0.967	0.777	0.976	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	337	337	122.534	261.0	121.29	203.0	121.29	203.0	122.534	261.0	121.29	203.0	121.29	203.0	122.534	261.0	121.29	203.0	121.29	203.0	1	337
424	TRINITY_DN182_c0_g1_i1	81.504	177.0	76.77	131.0	76.77	131.0	2371	0.797	1.0	0.948	0.724	0.959	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	338	338	81.504	177.0	76.77	131.0	76.77	131.0	81.504	177.0	76.77	131.0	76.77	131.0	81.504	177.0	76.77	131.0	76.77	131.0	1	338
425	TRINITY_DN185_c0_g1_i1	124.746	49.0	112.65	35.0	112.65	35.0	577	0.66	1.0	0.954	0.532	0.844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	339	339	124.746	49.0	112.65	35.0	112.65	35.0	124.746	49.0	112.65	35.0	112.65	35.0	124.746	49.0	112.65	35.0	112.65	35.0	1	339
426	TRINITY_DN185_c0_g2_i1	119.037	49.0	135.18	44.0	135.18	44.0	596	0.818	1.0	0.985	0.593	0.735	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	340	340	119.037	49.0	135.18	44.0	135.18	44.0	119.037	49.0	135.18	44.0	135.18	44.0	119.037	49.0	135.18	44.0	135.18	44.0	1	340
427	TRINITY_DN181_c0_g1_i1	130.642	53.0	118.45	38.0	118.45	38.0	590	0.83	1.0	0.941	0.659	0.844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	341	341	130.642	53.0	118.45	38.0	118.45	38.0	130.642	53.0	118.45	38.0	118.45	38.0	130.642	53.0	118.45	38.0	118.45	38.0	1	341
428	TRINITY_DN181_c0_g2_i1	475.255	206.0	472.85	162.0	472.85	162.0	618	0.772	1.0	0.969	0.551	0.737	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	342	342	475.255	206.0	472.85	162.0	472.85	162.0	475.255	206.0	472.85	162.0	472.85	162.0	475.255	206.0	472.85	162.0	472.85	162.0	1	342
429	TRINITY_DN116_c0_g1_i1	38.563	48.797	40.71	40.52	40.71	40.52	1457	0.985	1.0	0.938	0.826	0.894	0.095	0.096	0.102	0.104	0.102	0.104	0.207	0.211	0.232	0.236	0.232	0.236	343	343	407.637	508.001	398.81	390.99	398.81	390.99	101.909	127.0	99.702	97.748	99.702	97.748	186.216	230.832	175.79	171.4	175.79	171.4	4	343
430	TRINITY_DN116_c0_g1_i4	116.823	144.813	117.79	114.85	117.79	114.85	1431	0.917	1.0	0.945	0.769	0.887	0.287	0.285	0.295	0.294	0.295	0.294	0.627	0.627	0.67	0.67	0.67	0.67	343	343	407.637	508.001	398.81	390.99	398.81	390.99	101.909	127.0	99.702	97.748	99.702	97.748	186.216	230.832	175.79	171.4	175.79	171.4	4	343
431	TRINITY_DN116_c0_g1_i2	66.035	83.559	64.52	64.22	64.52	64.22	1457	0.828	0.974	0.931	0.578	0.77	0.162	0.164	0.162	0.164	0.162	0.164	0.355	0.362	0.367	0.375	0.367	0.375	343	343	407.637	508.001	398.81	390.99	398.81	390.99	101.909	127.0	99.702	97.748	99.702	97.748	186.216	230.832	175.79	171.4	175.79	171.4	4	343
432	TRINITY_DN116_c0_g1_i3	186.216	230.832	175.79	171.4	175.79	171.4	1431	0.73	1.0	0.947	0.659	0.954	0.457	0.454	0.441	0.438	0.441	0.438	1.0	1.0	1.0	1.0	1.0	1.0	343	343	407.637	508.001	398.81	390.99	398.81	390.99	101.909	127.0	99.702	97.748	99.702	97.748	186.216	230.832	175.79	171.4	175.79	171.4	4	343
433	TRINITY_DN126_c0_g1_i2	188.927	82.266	211.04	72.63	211.04	72.63	620	0.845	1.0	0.942	0.097	0.122	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	344	344	188.927	82.266	211.04	72.63	211.04	72.63	188.927	82.266	211.04	72.63	211.04	72.63	188.927	82.266	211.04	72.63	211.04	72.63	1	344
434	TRINITY_DN126_c0_g1_i1	160.75	75.734	159.52	59.37	159.52	59.37	656	0.76	1.0	0.936	0.485	0.682	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	345	345	160.75	75.734	159.52	59.37	159.52	59.37	160.75	75.734	159.52	59.37	159.52	59.37	160.75	75.734	159.52	59.37	159.52	59.37	1	345
435	TRINITY_DN104_c0_g1_i1	102.742	222.0	95.42	162.0	95.42	162.0	2360	0.799	1.0	0.965	0.736	0.954	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	346	346	102.742	222.0	95.42	162.0	95.42	162.0	102.742	222.0	95.42	162.0	95.42	162.0	102.742	222.0	95.42	162.0	95.42	162.0	1	346
436	TRINITY_DN142_c0_g1_i1	538.365	646.0	522.27	493.0	522.27	493.0	1391	0.829	1.0	0.963	0.716	0.897	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	347	347	538.365	646.0	522.27	493.0	522.27	493.0	538.365	646.0	522.27	493.0	522.27	493.0	538.365	646.0	522.27	493.0	522.27	493.0	1	347
437	TRINITY_DN222_c0_g1_i1	33.73	47.531	34.8	38.57	34.8	38.57	1602	1.0	0.996	0.952	0.913	0.964	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	348	348	33.73	47.531	34.8	38.57	34.8	38.57	33.73	47.531	34.8	38.57	34.8	38.57	33.73	47.531	34.8	38.57	34.8	38.57	1	348
438	TRINITY_DN222_c0_g1_i3	32.398	77.778	38.3	72.24	38.3	72.24	2602	1.0	0.999	0.978	0.929	0.951	0.324	0.301	0.374	0.349	0.374	0.349	0.932	0.837	0.867	0.778	0.867	0.778	349	349	99.858	258.126	102.5	207.05	102.5	207.05	33.286	86.042	34.167	69.017	34.167	69.017	34.779	92.979	44.2	92.81	44.2	92.81	3	349
439	TRINITY_DN222_c0_g1_i2	32.681	87.369	20.0	42.0	20.0	42.0	2877	0.79	0.999	0.945	0.736	0.987	0.327	0.338	0.195	0.203	0.195	0.203	0.94	0.94	0.452	0.453	0.452	0.453	349	349	99.858	258.126	102.5	207.05	102.5	207.05	33.286	86.042	34.167	69.017	34.167	69.017	34.779	92.979	44.2	92.81	44.2	92.81	3	349
440	TRINITY_DN222_c0_g1_i7	18.781	21.344	17.21	15.39	17.21	15.39	1327	0.692	0.967	0.954	0.624	0.977	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	350	350	18.781	21.344	17.21	15.39	17.21	15.39	18.781	21.344	17.21	15.39	17.21	15.39	18.781	21.344	17.21	15.39	17.21	15.39	1	350
441	TRINITY_DN222_c0_g1_i4	34.779	92.979	44.2	92.81	44.2	92.81	2877	0.608	0.999	0.973	0.586	0.992	0.348	0.36	0.431	0.448	0.431	0.448	1.0	1.0	1.0	1.0	1.0	1.0	349	349	99.858	258.126	102.5	207.05	102.5	207.05	33.286	86.042	34.167	69.017	34.167	69.017	34.779	92.979	44.2	92.81	44.2	92.81	3	349
442	TRINITY_DN202_c0_g1_i1	137.226	218.0	141.72	177.0	141.72	177.0	1783	0.757	1.0	0.971	0.706	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	351	351	137.226	218.0	141.72	177.0	141.72	177.0	137.226	218.0	141.72	177.0	141.72	177.0	137.226	218.0	141.72	177.0	141.72	177.0	1	351
443	TRINITY_DN270_c0_g1_i1	88.815	144.0	91.79	117.0	91.79	117.0	1816	0.789	1.0	0.98	0.685	0.887	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	352	352	88.815	144.0	91.79	117.0	91.79	117.0	88.815	144.0	91.79	117.0	91.79	117.0	88.815	144.0	91.79	117.0	91.79	117.0	1	352
444	TRINITY_DN270_c0_g2_i1	65.446	242.0	65.78	191.0	65.78	191.0	3910	0.835	1.0	0.974	0.795	0.978	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	353	353	65.446	242.0	65.78	191.0	65.78	191.0	65.446	242.0	65.78	191.0	65.78	191.0	65.446	242.0	65.78	191.0	65.78	191.0	1	353
445	TRINITY_DN276_c0_g1_i1	48.019	59.0	52.77	51.0	52.77	51.0	1420	0.836	1.0	0.967	0.771	0.953	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	354	354	48.019	59.0	52.77	51.0	52.77	51.0	48.019	59.0	52.77	51.0	52.77	51.0	48.019	59.0	52.77	51.0	52.77	51.0	1	354
446	TRINITY_DN279_c0_g1_i1	88.571	34.0	88.9	27.0	88.9	27.0	568	0.833	1.0	0.974	0.535	0.659	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	355	355	88.571	34.0	88.9	27.0	88.9	27.0	88.571	34.0	88.9	27.0	88.9	27.0	88.571	34.0	88.9	27.0	88.9	27.0	1	355
